recordType	id	kind	parentOrLineage	labelSr	labelEn	labelDe	externalAlignment	reviewReasons	approval
tag-profile	en-US	language	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English > Macro-English > English	амерички	English (United States)	Englisch (Vereinigte Staaten)	broader:stan1293	no-exact-glottolog-alignment,nonexact-standard-tag-alignment	PENDING
tag-profile	et	language		естонски	Estonian	Estnisch		no-exact-glottolog-alignment	PENDING
tag-profile	fa	language		персијски	Persian	Persisch		multiple-serbian-source-meanings,no-exact-glottolog-alignment	PENDING
tag-profile	frk	variety	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > Macro-Dutch > Old Dutch-Old Frankish > Old Frankish	франачки	Old Frankish		exact:fran1264	non-cldr-german-label	PENDING
tag-profile	ga-x-old	historical-stage	Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Goidelic > Modern Goidelic > Irish	староирски	Old Irish		broader:iris1253	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	gem	family	Indo-European > Classical Indo-European > Germanic	германски	Germanic		exact:germ1287	collection-classification,non-cldr-german-label	PENDING
tag-profile	gem-x-proto	reconstructed-language	Indo-European > Classical Indo-European > Germanic	прагермански	Proto Germanic languages		broader:germ1287	collection-classification,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	gml	language	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Altsächsisch > Middle-Modern Low German > Middle Low German	средњодоњонемачки	Middle Low German		exact:midd1318	non-cldr-german-label	PENDING
tag-profile	gmq	family	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic	скандинавски	North Germanic		exact:nort3160	collection-classification,non-cldr-german-label	PENDING
tag-profile	gmw-x-frisian	variety	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic	фризијски			broader:west2793	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	gmy	language	Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Achaean Greek	микенски	Achaean Greek		exact:myce1241	non-cldr-german-label	PENDING
tag-profile	grc	language	Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Ionic-Attic Ancient Greek	грчки	Ionic-Attic Ancient Greek	Altgriechisch	exact:anci1242	multiple-serbian-source-meanings	PENDING
tag-profile	grc-x-aeolic	variety	Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Ionic-Attic Ancient Greek	еолски			broader:anci1242	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	grc-x-attic	variety	Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Ionic-Attic Ancient Greek	атички			broader:anci1242	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	grc-x-doric	variety	Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Ionic-Attic Ancient Greek	дорски			broader:anci1242	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	grc-x-homeric	variety	Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Ionic-Attic Ancient Greek	хомерски (о грчком)			broader:anci1242	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	grc-x-ionic	variety	Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Ionic-Attic Ancient Greek	јонски			broader:anci1242	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	grc-x-middle	historical-stage	Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Ionic-Attic Ancient Greek	средњогрчки	Middle Ancient Greek (to 1453)		broader:anci1242	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	hbo	language	Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Canaanite > Hebrewic > Ancient Hebrew	старохебрејски	Ancient Hebrew		exact:anci1244	non-cldr-german-label	PENDING
tag-profile	hr-x-kajkav	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Croatian Standard	кајкавски			broader:croa1245	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	hr-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Croatian Standard	старохрватски	Old Croatian		broader:croa1245	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	iir	family	Indo-European > Classical Indo-European > Indo-Iranian	индоирански	Indo-Iranian		exact:indo1320	collection-classification,non-cldr-german-label	PENDING
tag-profile	inc	family		индијски	Indic languages			collection-classification,no-exact-glottolog-alignment,non-cldr-german-label	PENDING
tag-profile	inc-x-old	historical-stage		староиндијски	Old Indic languages			collection-classification,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ine	family	Indo-European	индоевропски	Indo-European		exact:indo1319	collection-classification,non-cldr-german-label	PENDING
tag-profile	ine-x-balto-slavic	variety	Indo-European	балтословенски			broader:indo1319	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ine-x-luwian	variety	Indo-European	лувијски			broader:indo1319	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ine-x-proto	reconstructed-language	Indo-European	праиндоевропски	Proto Indo-European languages		broader:indo1319	collection-classification,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ine-x-tochar	variety	Indo-European	тохарски			broader:indo1319	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ira	family	Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian	ирански	Iranian		exact:iran1269	collection-classification,non-cldr-german-label	PENDING
tag-profile	ira-x-middle	historical-stage	Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian	средњоирански	Middle Iranian languages		broader:iran1269	collection-classification,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ira-x-old	historical-stage	Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian	староирански	Old Iranian languages		broader:iran1269	collection-classification,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ira-x-sarmat	variety	Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian	сарматски			broader:iran1269	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	is-x-middle	historical-stage	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > West Scandinavian > Icelandic-Faroese > Icelandic	средњоисландски	Middle Icelandic		broader:icel1247	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	is-x-old	historical-stage	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > West Scandinavian > Icelandic-Faroese > Icelandic	староисландски	Old Icelandic		broader:icel1247	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	it-x-old	historical-stage	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance > Italian	староиталијански	Old Italian		broader:ital1282	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	it-x-tuscan	variety	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance > Italian	тоскански			broader:ital1282	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	itc	family	Indo-European > Classical Indo-European > Italic	италски	Italic		exact:ital1284	collection-classification,non-cldr-german-label	PENDING
tag-profile	la-x-late	historical-stage	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Latin	каснослатински	Late Latin		broader:lati1261	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	la-x-middle	historical-stage	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Latin	средњолатински	Middle Latin		broader:lati1261	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	la-x-new	historical-stage	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Latin	новолатински	New Latin		broader:lati1261	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	la-x-old	historical-stage	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Latin	старолатински	Old Latin		broader:lati1261	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	la-x-vulgar	historical-stage	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Latin	вулгарнолатински	Vulgar Latin		broader:lati1261	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	lt-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Eastern Baltic > Lithuanian	старолитвански	Old Lithuanian		broader:lith1251	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	obt	variety	Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Brythonic > Southwestern Brythonic > Old South-West British > Old Breton	старобретонски	Old Breton		exact:oldb1248	non-cldr-german-label	PENDING
tag-profile	oc-provenc	language	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > Occitanic > Occitan	провансалски	Occitan (post 1500) (Provençal)		broader:occi1239	no-exact-glottolog-alignment,non-cldr-german-label,nonexact-standard-tag-alignment	PENDING
tag-profile	oco	language	Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Brythonic > Southwestern Brythonic > Old South-West British	старокорнволски	Old South-West British		exact:oldc1252	non-cldr-german-label	PENDING
tag-profile	ofs	language	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Frisian > Old Frisian	старофризијски	Old Frisian		exact:oldf1241	non-cldr-german-label	PENDING
tag-profile	orv	language	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > East Slavic > Old Russian	староруски	Old Russian		exact:oldr1238	non-cldr-german-label	PENDING
tag-profile	os	language	Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Iranian PBS > Sogdic-Ossetic > Ossetic > Modern Ossetic > Iron Ossetian	иронски	Iron Ossetian	Ossetisch	exact:iron1242	multiple-serbian-source-meanings	PENDING
tag-profile	osc	language	Indo-European > Classical Indo-European > Italic > Sabellic > Oscan	осачки	Oscan		exact:osca1245	non-cldr-german-label	PENDING
tag-profile	osd	language		дигорски	Digor Ossetic			no-exact-glottolog-alignment,non-cldr-german-label	PENDING
tag-profile	osx	language	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Altsächsisch > Old Saxon	старосаксонски	Old Saxon		exact:olds1250	multiple-serbian-source-meanings,non-cldr-german-label	PENDING
tag-profile	otk	language	Bookkeeping > Old Turkish	старотурски	Old Turkish		exact:oldt1247	non-cldr-german-label	PENDING
tag-profile	owl	language	Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Brythonic > Old-Modern Welsh > Old-Middle Welsh	старокимријски	Old-Middle Welsh		exact:oldw1239	non-cldr-german-label	PENDING
tag-profile	pal	language	Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Southwestern Iranian > Middle-Modern Persian > Pahlavi	пехлеви	Pahlavi	Mittelpersisch	exact:pahl1241	multiple-serbian-source-meanings	PENDING
tag-profile	pl-x-karpat	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Lechitic > Polish-Silesian > Polish	карпатски			broader:poli1260	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	pl-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Lechitic > Polish-Silesian > Polish	старопољски	Old Polish		broader:poli1260	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	pox	language	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Lechitic > Polabian	полапски	Polabian		exact:pola1255	non-cldr-german-label	PENDING
tag-profile	ro	language	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Eastern Romance > Northern Romanian > Eastern Romanian > Romanian	румунски	Romanian	Rumänisch	exact:roma1327	multiple-serbian-source-meanings	PENDING
tag-profile	ro-x-old	historical-stage	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Eastern Romance > Northern Romanian > Eastern Romanian > Romanian	старорумунски	Old Romanian		broader:roma1327	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	roa	family	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance	романски	Romance		exact:roma1334	collection-classification,non-cldr-german-label	PENDING
tag-profile	roa-x-gallo	variety	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance	галоромански			broader:roma1334	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ruo	language	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Eastern Romance > Northern Romanian > Istro-Romanian	истроромански	Istro-Romanian		exact:istr1245	non-cldr-german-label	PENDING
tag-profile	ruq	language	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Eastern Romance > Northern Romanian > Eastern Romanian > Megleno-Romanian	мегленорумунски	Megleno-Romanian		exact:megl1237	non-cldr-german-label	PENDING
tag-profile	sgh	language	Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Eastern Iranian > Shughni-Yazgulami > Shughnic > Shughni	шугнански	Shughni		exact:shug1248	non-cldr-german-label	PENDING
tag-profile	sh-x-shtakav	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian	шћакавски			broader:sout1528	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sh-x-shtokav	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian	штокавски			broader:sout1528	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sl-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Slovenian	старословеначки	Old Slovenian		broader:slov1268	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sla-x-proto	reconstructed-language	Indo-European > Classical Indo-European > Balto-Slavic > Slavic	прасловенски	Proto Slavic languages		broader:slav1255	collection-classification,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	српски	Serbian Standard	Serbisch	exact:serb1264	multiple-serbian-source-meanings	PENDING
tag-profile	sr-ekavsk	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	екавски	Serbian (Serbian with Ekavian pronunciation)		broader:serb1264	no-exact-glottolog-alignment,non-cldr-german-label,nonexact-standard-tag-alignment	PENDING
tag-profile	sr-ijekavsk	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	јекавски	Serbian (Serbian with Ijekavian pronunciation)		broader:serb1264	multiple-serbian-source-meanings,no-exact-glottolog-alignment,non-cldr-german-label,nonexact-standard-tag-alignment	PENDING
tag-profile	sr-x-ikavsk	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	икавски			broader:serb1264	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr-x-kos-res	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	косовско-ресавски			broader:serb1264	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	старосрпски	Old Serbian		broader:serb1264	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr-x-priz-tim	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	призренско-тимочки			broader:serb1264	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr-x-slavonic	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	српскословенски			broader:serb1264	english-label-required,multiple-serbian-source-meanings,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr-x-slavserb	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	славеносрпски			broader:serb1264	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr-x-smed-vrs	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	смедеревско-вршачки			broader:serb1264	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr-x-sum-voj	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	шумадијско-војвођански			broader:serb1264	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sr-x-zeta-sjen	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Serbian Standard	зетско-сјенички			broader:serb1264	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	sv-x-old	historical-stage	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > North Scandinavian > East-Central Swedic > East Swedic > Swedish	старошведски	Old Swedish		broader:swed1254	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	swg	language	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Alemannic > North Alemannic > Swabian	швапски	Swabian		exact:swab1242	non-cldr-german-label	PENDING
tag-profile	trk	family	Turkic	општетурски	Turkic		exact:turk1311	collection-classification,non-cldr-german-label	PENDING
tag-profile	trk-x-kipchak	variety	Turkic	кипчачки			broader:turk1311	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	uk-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > East Slavic > Ukrainian-Rusyn > Ukrainian	староукрајински	Old Ukrainian		broader:ukra1253	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	vec-x-old	historical-stage	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Dalmatian Romance > Venetian	старовенецијански	Old Venetian		broader:vene1258	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	vec-x-trieste	variety	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Dalmatian Romance > Venetian	тршћански			broader:vene1258	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	vel	variety	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Altsächsisch > Middle-Modern Low German > Low German > West Low German > Westphalic > Veluws	вељотски	Veluws		exact:velu1238	non-cldr-german-label	PENDING
tag-profile	vsn	variety	Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Sanskrit > Vedic Sanskrit	ведски	Vedic Sanskrit		exact:vedi1234	non-cldr-german-label	PENDING
